Title,Genre(s),Developer(s),Publisher(s)
Broken Delusion,Action role-playing,Bilibili,Zhaijidian
Broken Sword 5: The Serpent's Curse,Point-and-click adventure,Revolution Software,Revolution Software
Brothers: A Tale of Two Sons,"Puzzle, adventure",Starbreeze Studios,505 Games
Brutal,Action role-playing,Stormcloud Games,Stormcloud Games
Bubble Bobble 4 Friends: The Baron is Back,Platform,Taito,Inin Games
Bubsy: Paws on Fire!,Platform,Choice Provisions,UFO Interactive Games
Bubsy: The Woolies Strike Back,Platform,Black Forest Games,UFO Interactive Games
Bucket Knight,Platform,Sometimes You,Sometimes You
Bud Spencer & Terence Hill: Slaps and Beans,Beat 'em up,Trinity Team,Buddy Productions
The Bug Butcher,Action,Awfully Nice Studios,Triangle Studios
Bug Fables: The Everlasting Sapling,Role-playing,Moonsprout Games,Dangen Entertainment
BugsBox,Actionpuzzle,Park ESM,Park ESM
Bugsnax,Adventureplatform,Young Horses,Young Horses
Buildings Have Feelings Too!,"Simulation, strategy",Blackstaff Games,Merge Games
Bulb Boy,Adventure,Bulbware,Bulbware
Bulletstorm: Full Clip Edition,First-person shooter,People Can Fly,Gearbox Software
Buried Stars,Visual novel,Studio Largo,Line Games
Burnout Paradise Remastered,Racing,Stellar Entertainment,Electronic Arts
Bus Driver Simulator,Vehicle simulation,Ultimate Games,UIH
Bus Simulator 18,Vehicle simulation,Stillalive Studios,Astragon
Bus Simulator 21,Vehicle simulation,Stillalive Studios,Astragon
Bush Hockey League,Sports,V7 Entertainment,V7 Entertainment
Butcher,Shooter,Transhuman Design,Crunching Koalas
Cafeteria Nipponica,Simulation,Kairosoft,Kairosoft
Cake Bash,Partybeat 'em up,High Tea Frog,Coatsink
Caladrius Blaze,Shoot 'em up,Moss,H2 Interactive
The Caligula Effect 2,Role-playing,Historia,JP: FuRyuWW: NIS America
The Caligula Effect: Overdose,Role-playing,Historia,JP: FuRyuWW: NIS America
Call of Cthulhu: The Official Video Game,"Adventure, horror",Frogwares,Focus Home Interactive
Call of Duty: Advanced Warfare,First-person shooter,Sledgehammer Games,Activision
Call of Duty: Black Ops III,First-person shooter,Treyarch,Activision
Call of Duty: Black Ops IIII,First-person shooter,Treyarch,Activision
Call of Duty: Black Ops Cold War,First-person shooter,Raven SoftwareTreyarch,Activision
Call of Duty: Ghosts,First-person shooter,Infinity Ward,Activision
Call of Duty: Infinite Warfare,First-person shooter,Infinity Ward,Activision
Call of Duty: Modern Warfare,First-person shooter,Infinity Ward,Activision
Call of Duty: Modern Warfare Remastered,First-person shooter,Raven Software,Activision
Call of Duty: Modern Warfare 2 Campaign Remastered,First-person shooter,Beenox,Activision
Call of Duty: Vanguard,First-person shooter,Sledgehammer Games,Activision
Call of Duty: Warzone,First-person shooter,Infinity WardRaven Software,Activision
Call of Duty: WWII,First-person shooter,Sledgehammer Games,Activision
Call of the Sea,Adventurepuzzle,Out of the Blue,Raw Fury
Calvino Noir,Adventure,Calvino Noir,Calvino Noir
Candlelight,Platform,Pixel Maverick,Pixel Maverick
Candleman: The Complete Journey,Puzzle,Spotlightor Interactive,Zodiac Interactive
Candle: The Power of the Flame,Adventureplatform,Teku Studios,Merge Games
Cannon Brawl,Actionstrategy,Turtle SandboxBlitWorks,Turtle Sandbox
Can't Drive This,Racing,Pixel Maniacs,Perp Games
Capcom Arcade Stadium,Arcade,Capcom,Capcom
Capcom Beat 'Em Up Bundle,Beat 'em up,Capcom,Capcom
Capsule Force,Action,Klobit,Iron Galaxy Studios
Captain Tsubasa: Rise of New Champions,Sports,Tamsoft,Bandai Namco Entertainment
Cardpocalypse,Card gamerole-playing,Gambrinous,Versus Evil
Carmageddon: Max Damage,Vehicular combat,Stainless Games,Stainless Games
Car Mechanic Simulator 2018,Simulation,Red Dot Games,PlayWay
Carrion,Horror,Phobia Game Studio,Devolver Digital
Cars 3: Driven to Win,Racing,Avalanche Software,WB Games
Carto,Adventurepuzzle,Sunhead Games,Humble Games
Cartoon Network: Battle Crashers,Beat 'em up,Magic Pockets,GameMill Entertainment
CarX Drift Racing Online,Racingdrifting,CarX Technologies,CarX Technologies
Casey Powell Lacrosse 16,Sports,Crosse Studios,Big Ant Studios
Castaway Paradise,Simulation,Rokaplay,Rokaplay
Castle Crashers Remastered,Beat 'em up,The Behemoth,The Behemoth
The Castle Game,Tower defense,Neptune,Neptune
Castles,Puzzle,WhootGames,BadLand Indie
CastleStorm: Definitive Edition,Tower defense,Zen Studios,Zen Studios
CastleStorm II,Tower defense,Zen Studios,Zen Studios
Castlevania Advance Collection,Actionplatform-adventure,Konami,Konami
Castlevania Anniversary Collection,Actionplatform-adventure,Konami,Konami
Castlevania Requiem,Actionplatform-adventure,Konami,Konami
Catherine: Full Body,Puzzle-platform,Studio Zero,Atlus
Catlateral Damage,Simulation,Manekoware,Fire Hose Games
Cat Quest,Action role-playing,The Gentlebros,PQube
Cat Quest II,Action role-playing,The Gentlebros,PQube
Cel Damage HD,Racing,Finish Line Games,Finish Line Games
Celeste,Platform,Matt Thorson,Matt Makes Games
Centipede: Recharged,Puzzle,Adamvision StudiosSneakyBox,"Atari, Inc."
Chained Echoes,Role-playing,Ark Heiral,Deck13 Spotlight
Chambara,Action,Team OK,USC Games
Chaos;Child,Visual novel,Nitroplus,5pb.
Chaos Code: New Sign of Catastrophe,Fighting,FK Digital,Arc System Works
Chaos on Deponia,Point-and-click adventure,Daedalic Entertainment,Daedalic Entertainment
Chariot,"Adventure, platform",Frima Studio,Frima Studio
Chasm,Metroidvania,Bit Kid,Bit Kid
Checkers,Card & board,Sabec,Sabec
Chernobylite,Survival,The Farm 51,All in! Games
Chess Ultra,Chess,VooFoo Studios,Ripstone
Chicken Police: Paint it Red!,Adventure,The Wild Gentlemen,HandyGames
Chicory: A Colorful Tale,Adventure,Greg Lobanov,Finji
Child of Light,Role-playing,Ubisoft Montreal,Ubisoft
Children of Morta,Action role-playing,Dead Mage,JP: ExnoaWW: 11 Bit Studios
Children of Zodiarcs,Tactical role-playing,Cardboard Utopia,Square Enix
Chimparty,"Arcade, party",NapNok Games,Sony Interactive Entertainment
Chime Sharp,"Music, puzzle",Zoë Mode,Chilled Mouse
Chivalry: Medieval Warfare,Hack and slash,Torn Banner Studios,Activision
Chivalry 2,Hack and slash,Torn Banner Studios,Tripwire Interactive
Chocobo's Mystery Dungeon Every Buddy!,Role-playing,Square Enix,Square Enix
Chop is Dish,Platform,Victory Road,Victory Road
Chorus: Rise As One,Space combat,Fishlabs,Deep Silver
ChromaGun,"First-person shooter, puzzle",Pixel Maniacs,Pixel Maniacs
Chroma Squad,Turn-based,Behold Studios,Bandai Namco Entertainment
Chronicles of Teddy: Harmony of Exidus,Adventure,LookAtMyGame,Aksys Games
Chronos: Before the Ashes,Action role-playing,Gunfire Games,THQ Nordic
The Church in the Darkness,Action,Paranoid Productions,Paranoid Productions
Ciel Nosurge DX,Life simulation,Gust Co. Ltd.,Koei Tecmo
Cinders,Visual novel,MoaCube,Crunching Koalas
Circuit Superstars,Racing,Original Fire Games,Square Enix Collective
Circuits,Puzzle,Digital Tentacle,JP: EastAsiaSoftNA: Rendercode Games
Citadel: Forged with Fire,Massively multiplayer online,Blue Isle Studios,Blue Isle Studios
Cities: Skylines,Simulation,Tantalus Media,Paradox Interactive
Citizens of Earth,Role-playing,Atlus,Eden Industries
Citizens of Space,Role-playing,Eden Industries,Sega
City Shrouded in Shadow,Action,Granzella,Bandai Namco Entertainment
Civilization VI,4Xturn-based strategy,Firaxis Games,2K Games
Cladun Returns: This is Sengoku!,Role-playing,Nippon Ichi Software,NIS America
Claire: Extended Cut,Adventure,Hailstorm Games,Hailstorm Games
Clannad,Visual novel,Key,Prototype
Claybook,Puzzle,Second Order,Second Order
Clid the Snail,Shoot 'em up,Weird Beluga Studio,Koch Media
Clockwork Aquario,Arcadeplatform,Westone Bit Entertainment,Inin Games
Clockwork Tales: Of Glass and Ink,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Clone Drone in the Danger Zone,Actionfighting,Doborog Games,Doborog Games
Close to the Sun,Horroradventure,Storm in a Teacup,Wired Productions
Cloudpunk,Adventure,Ion Lands,Merge Games
Clustertruck,Platform,Landfall Games,TinyBuild
Cobra Kai: The Karate Kid Saga Continues,Beat 'em up,Flux Game Studio,GameMill Entertainment
Code Vein,Action role-playing,Bandai Namco,Bandai Namco
Coffee Talk,Visual novel,Toge Productions,Chorus Worldwide
Coffin Dodgers,Racing,Milky Tea Studios,Wales Interactive
Cogen: Sword of Rewind,Platform,Gemdrops,Gemdrops
Colt Canyon,Twin-stick shooter,Retrific,Headup Games
The Coma: Recut,Survival horror,Devespresso Games,Digerati
The Coma 2: Vicious Sisters,Survival horror,Devespresso Games,Headup Games
Comet Crash 2,Real-time strategy,Pelfast,Pelfast
Commander Cherry's Puzzled Journey,Platform,Grande Games,Grande Games
Commandos 2 - HD Remaster,Real-time tactics,Yippee!Pyro Studios,Kalypso Media
Conan Chop Chop,Action-adventure,Mighty Kingdom,Funcom
Conan Exiles,"Open world, survival",Funcom,Koch Media
Conarium,Horror,Zoetrope Interactive,Iceberg Interactive
Concept Destruction,Vehicular combat,Ratalaika Games,Ratalaika Games
Conception Plus: Maidens of the Twelve Stars,Role-playing,Spike Chunsoft,Spike Chunsoft
Concrete Genie,Adventure,Pixelopus,Sony Interactive Entertainment
Conga Master,Action,Undercoders,Rising Star Games
Construction Simulator 2: Console Edition,Simulationstrategy,weltenbauer,Astragon Entertainment
Construction Simulator 3: Console Edition,Simulationstrategy,weltenbauer,Astragon Entertainment
Constructor HD,City-building,System 3,System 3
Constructor Plus,City-building,System 3,System 3
Contra Anniversary Collection,Run and gun,Konami,Konami
Contra: Rogue Corps,Run and gun,Konami,Konami
Contrast,"Platform, puzzle",Compulsion Games,Compulsion Games
Control,Third-person shooter,Remedy Entertainment,505 Games
Convallaria,Action,Loong Force,Loong Force
Convoy: A Tactical Roguelike,Vehicular combatstrategy,Convoy Games,Triangle Studios
"Cook, Serve, Delicious! 2",Simulation,Vertigo Gaming,Vertigo Gaming
"Cook, Serve, Delicious! 3",Simulation,Vertigo Gaming,Vertigo Gaming
Corpse Party: Blood Covered Repeated Fear,Survival horror,Team GrisGrisMages,JP: MagesWW: Xseed Games
Cosmic Star Heroine,Role-playing,Zeboyd Games,Zeboyd Games
Costume Quest 2,"Adventure, role-playing",Double Fine Productions,Double Fine Productions
Cotton 100%,Shoot 'em up,Success,JP: SunsoftWW: ININ Games
Cotton Reboot!,Shoot 'em up,Sangatu Usagi no Mori,JP: BeepWW: Inin Games
Cotton Rock 'n' Roll,Shoot 'em up,Success,Success
The Count Lucanor,Action-adventure,Baroque Decay,Merge Games
CounterSpy,Side-scrollerstealth,Dynamighty,Sony Computer Entertainment
Cozy Grove,Adventurehidden object,Spry Fox,Quantum Astrophysicists Guild
Crash Bandicoot 4: It's About Time,Platform,Toys for Bob,Activision
Crash Bandicoot N. Sane Trilogy,Platform,Vicarious Visions,JP: Sony Interactive EntertainmentWW: Activision
Crash Team Racing Nitro-Fueled,Kart racing,Beenox,JP: SegaWW: Activision
Crawl,"Roguelike, brawler",Powerhoof,Powerhoof
Crayola Scoot,Sports,Climax Studios,Outright Games
Crazy Strike Bowling EX,Sports,Corecell Technology,Corecell Technology
Creaks,Adventurepuzzle,Amanita Design,Amanita Design
Creature in the Well,Dungeon crawlerhack and slash,Flight School Studio,MWM Interactive
The Crew,Racing,Ivory Tower,Ubisoft
The Crew 2,Racing,Ivory Tower,Ubisoft
Cricket 19,Sports,Big Ant Studios,Big Ant Studios
Cricket 22,Sports,Big Ant Studios,Nacon
Cris Tales,Role-playing,Dreams UncorporatedSYCK,Modus Games
CrossCode,Action role-playing,Radical Fish Games,Deck13
Crossing Souls,Action-adventure,Fourattic,Devolver Digital
CrossKrush,Puzzle,Thinice Games,Ratalaika Games
Crown Trick,Action role-playing,Next Studios,Next Studios
Crows: Burning Edge,Action-adventure,Bandai Namco Entertainment,Bandai Namco Entertainment
The Cruel King and the Great Hero,Role-playing,Nippon Ichi Software,JP: Nippon Ichi SoftwareWW: NIS America
Crypt of the NecroDancer,"Roguelike, rhythm",Brace Yourself Games,Brace Yourself Games
Cryptark,Shoot 'em up,Alientrap,Alientrap
Crysis Remastered,First-person shooter,CrytekSaber Interactive,Crytek
Crysis 2 Remastered,First-person shooter,CrytekSaber Interactive,Crytek
Crysis 3 Remastered,First-person shooter,CrytekSaber Interactive,Crytek
Crystal Crisis,Puzzle,Nicalis,JP: PikiiWW: Nicalis
Crystar,Action role-playing,Gemdrops,JP: FuRyuWW: Spike Chunsoft
Cube Life: Island Survival HD,Sandbox,Cypronia,Cypronia
Cubers: Arena,Brawler,Teyon,Teyon
Cuphead,Run and gun,StudioMDHR,StudioMDHR
Curious Expedition,Strategy,Maschinen-Mensch,Thunderful Publishing
Curses 'N Chaos,Action,Tribute Games,Tribute Games
Curse of the Dead Gods,Action role-playingroguelike,Passtech Games,Focus Home Interactive
Cyberdimension Neptunia: 4 Goddesses Online,Action role-playing,Compile HeartTamsoft,Idea Factory
Cyberpunk 2077,Action role-playing,CD Projekt Red,CD Projekt Red
Cyber Troopers Virtual-On Masterpiece 1995–2001,Action,Sega,Sega
Daggerhood,Actionplatform,Woblyware,Ratalaika Games
Daisenryaku: Dai Toua Kouboushi 3,War simulation,SystemSoft Alpha,SystemSoft Alpha
Dakar 18,Racing,Bigmoon Entertainment,Deep Silver
Damsel,Actionplatform,Screwtape Studios,EastAsiaSoft
Dandara,Platform,Long Hat House,Raw Fury
Danganronpa 1-2 Reload,"Adventure, visual novel",Spike Chunsoft,NIS America
Danganronpa V3: Killing Harmony,"Adventure, visual novel",Spike Chunsoft,NIS America
Danganronpa Another Episode: Ultra Despair Girls,Adventure,Spike Chunsoft,NIS America
Danganronpa Trilogy,"Adventure, visual novel",Spike Chunsoft,NIS America
Dangerous Golf,Sports,Three Fields Entertainment,Three Fields Entertainment
Danger Zone,Racing,Three Fields Entertainment,Three Fields Entertainment
Dangun Feveron,Shoot 'em up,CaveM2,Cave
Dariusburst Chronicle Saviours,Shoot 'em up,Pyramid,Degica
Darius Cozmic Collection,Shoot 'em up,M2,JP: TaitoWW: Inin Games
Darius Cozmic Revelation,Shoot 'em up,Taito,JP: TaitoWW: Inin Games
Dark Arcana: The Carnival,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Dark Devotion,Action role-playingsoulslike,Hibernian Workshop,The Arcade Crew
Dark Envoy,Role-playing,Event Horizon,Event Horizon
The Dark Pictures Anthology: House of Ashes,Horror,Supermassive Games,Bandai Namco Entertainment
The Dark Pictures Anthology: Little Hope,Horror,Supermassive Games,Bandai Namco Entertainment
The Dark Pictures Anthology: Man of Medan,Horror,Supermassive Games,Bandai Namco Entertainment
Dark Rose Valkyrie,Role-playing,Compile Heart,Idea Factory
Dark Souls Remastered,Action role-playing,FromSoftware,Bandai Namco Entertainment
Dark Souls II,Action role-playing,FromSoftware,Bandai Namco Entertainment
Dark Souls III,Action role-playing,FromSoftware,Bandai Namco Entertainment
Darkest Dungeon,Turn-based strategy,Red Hook Studios,Red Hook Studios
Darkestville Castle,Point-and-click adventure,Epic LLama,Buka Entertainment
Darksiders Genesis,Action role-playinghack and slash,Airship Syndicate,THQ Nordic
Darksiders: Warmastered Edition,Action role-playing,Nordic Games,Nordic Games
Darksiders II: Deathinitive Edition,Action role-playinghack and slash,Gunfire Games,Nordic Games
Darksiders III,Action role-playinghack and slash,Gunfire Games,Nordic Games
Darkwood,Survival horror,Acid Wizard Studio,Crunching Koalas
Darq: Complete Edition,Psychological horror,Unfold Games,Feardemic
Dawn of the Monsters,Beat 'em up,13AM Games,WayForward
Daylight,Survival horror,Zombie Studios,Atlus
Daymare: 1998,Survival horror,Invader Studios,Invader Studios
Day of the Tentacle: Remastered Edition,Graphic adventure,Double Fine Productions,Double Fine Productions
Days Gone,Open worldsurvival,Bend Studio,Sony Interactive Entertainment
DayZ,Survival,Bohemia Interactive,Bohemia Interactive
Dead Alliance,First-person shooter,Psyop GamesIllFonic,Maximum Games
Dead by Daylight,Survival horror,Behaviour Interactive,Starbreeze Studios
Dead Cells,Actionroguelike,Motion Twin,Motion Twin
Deadcore,Platformparkour,5 Bits Games,Grip Digital
Dead Island Definitive Edition,Survival horror,Techland,Deep Silver
Dead Island 2,Survival horror,Yager Development,Deep Silver
Deadlight: Director's Cut,Survival horror,Tequila Works,Deep Silver
The Deadly Tower of Monsters,Action-adventure,Ace Team,Atlus
Dead Nation: Apocalypse Edition,Shoot 'em up,Housemarque,Sony Computer Entertainment
Dead or Alive 5 Last Round,Fighting,Koei Tecmo,Koei Tecmo
Dead or Alive 6,Fighting,Koei Tecmo,Koei Tecmo
Dead or Alive Xtreme 3,Sports,Team Ninja,Koei Tecmo
Dead or School,Hack and slash,Studio Nanafushi,JP: Studio NanafushiWW: Marvelous Europe
Deadpool,"Action, beat 'em up",High Moon Studios,Activision
Dead Rising,Survival horror,Capcom,Capcom
Dead Rising 2,Survival horror,Capcom,Capcom
Dead Rising 2: Off the Record,Survival horror,Capcom,Capcom
Dead Rising 4,Survival horror,Capcom Vancouver,Capcom
Dead Star,Shoot 'em up,Armature Studio,Armature Studio
Dead Synchronicity: Tomorrow Comes Today,Point-and-click adventure,Fictiorama Studios,Daedalic Entertainment
Dear Esther,Exploration,The Chinese Room,Curve Digital
Death Come True,Adventure,Too Kyo Games,IzanagiGames
Death Coming,Strategy,Next Studios,Beijing Spirit Games
Death Crown,Real-time strategy,Co5monautStas Pisarev,Co5monaut
Death end re;Quest,Role-playing,Idea Factory,Idea Factory
Death end re;Quest 2,Role-playing,Idea FactoryCompile Heart,Idea Factory
Death Stranding,Action,Kojima Productions,Sony Interactive Entertainment
Death Squared,Puzzle,SMG Studios,SMG Studios
Death's Door,Action-adventure,Acid Nerve,Devolver Digital
Death's Gambit,Action role-playing,White Rabbit,Adult Swim Games
Death's Gambit: Afterlife,Action role-playing,White Rabbit,Serenity Forge
Deathsmiles I & II,Shoot 'em up,Cave Interactive,City Connection
De Blob,Platformpuzzle,BlitWorks,THQ Nordic
De Blob 2,Platformpuzzle,BlitWorks,THQ Nordic
Decay of Logos,Action role-playing,Amplify Creations,Rising Star Games
Deception IV: The Nightmare Princess,"Action, strategy",Tecmo Koei,Tecmo Koei
Deemo: Reborn,Rhythm,Rayark,Unties
Deep Sky Derelicts: Definitive Edition,Role-playingturn-based strategy,Snowhound Games,1C Entertainment
Defenders of Ekron,Shoot 'em up,In Vitro Games,In Vitro Games
Defense Grid 2,Tower defense,Hidden Path Entertainment,505 Games
Deformers,Multiplayer online battle arena,Ready at Dawn,Ready at Dawn
Deiland,Adventurerole-playing,Chibig,Square Enix
Deleveled,Puzzle,TQAG,TQAG
Deliver Us the Moon,Adventure,KeokeN Interactive,KeokeN Interactive
Deltarune,Role-playing,Toby Fox,8-4
Demetrios: The Big Cynical Adventure,Point-and-click adventure,CowCat,CowCat
Demon Gaze II,Dungeon crawler,Experience,JP: Kadokawa GamesWW: NIS America
Demon Gaze Extra,Role-playing,Cattle Call,JP: Kadokawa GamesWW: Clouded Leopard Entertainment
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,Fighting,CyberConnect2,JP: AniplexWW: Sega
